Thinking about life after school whether or not I’ll be able to find a job.,1,twitter-api
"I was feeling calm all day, no worries yesterday",1,twitter-api
"I was told the news that my grandfather had passedaway, I was worried about how my family was going to cope.",1,twitter-api
using humour as a coping mechanism,1,twitter-api
it's been a tough couple of months for me and i wasn't coping very well but i'm back,1,twitter-api
Returning to work after postnatal depression might seem almost impossible. But there are steps you can take to prepare yourself and make it less overwhelming,1,twitter-api
"Coloring takes my mind off of difficult things and allows me to focus on a fun, peaceful task.",1,twitter-api
"my way of coping for the past few weeks is writing, i just pretend I'm writing letters for him asking him how he's doing and that we miss him",1,twitter-api
"I think I handled myself much better today. ",1,twitter-api
"Some of us having different coping mechanisms. Mine is making a joke out of it, because being upset over it won't change anything so I may as well laugh.",1,twitter-api
"i understood JOURNALING IS AN  IMPORTANT COPING MECHANISM FOR HEALING. ",1,twitter-api
and i keep on smiling cuz thats my coping mechanism when im nervous,1,twitter-api
when im anxious and overwhelmed due to stress. coping with it by watching movies helps,1,twitter-api
I am writing this as a sort of coping mechanism. I don't know what just happened and I think this will help me improve in the future.,1,twitter-api
Workout are like one of my coping mechanism.,1,twitter-api
"I know first-hand how hard it is to maintain an academic research career and be the primary carer for young kids. My coping strategy is to work smarter, and to give my time proportionately to the task at hand, with a focus on getting the job done.""",1,twitter-api
"People cope differently. For me, seeing other people's struggles make me feel less alone as I resonate to it.",1,twitter-api
"I have PTSD. Basically, if I have an intense flashback/panic attack/nightmare/etc and my coping mechanisms don't work, I take a xanax. It works",1,twitter-api
"my therapist she allows me to talk about issue i have in order of most important to least important, offers tips and advice, and let’s me basically just vent.",1,twitter-api
"when Lauren said that she would write her feelings down into a notebook. I now do that, and that has gotten me to where I am today.",1,twitter-api
"Just stepping into this very space and spending some time interacting with amazing friends, somewhat felt like a solace especially during this epidemic",1,twitter-api
"Self care isnt always 'nice' stuff, its forcing yourself to do an 'act' that beneficial to your health. ",1,twitter-api
"I'm so sorry for my absence recently, I'm having a hard time coping with a lot of things",1,twitter-api
Feeling hopeful things will change for the better.,1,twitter-api
I legit woke up feeling a lot better. My anxiety has definitely gone down a lot.,1,twitter-api
No better feeling than getting home and my babygirl is jumping in excitement to see me.,1,twitter-api
there's no feeling better than washing your hands and the water from the faucet suddenly turns warm,1,twitter-api
"Work out done !!!! Nothing better than feeling tired and all sweaty after a back routine ",1,twitter-api
this whole thing has had me shaken up for a while but its been some time and now that its all public im feeling so much better,1,twitter-api
